By Year,TEAM,GP,MIN,%FGA,%FGA.1,%PTS,%PTS.1,%PTS.2,%PTS.3,%PTS.4,%PTS.5,%PTS.6,2FGM,2FGM.1,3FGM,3FGM.1,FGM,FGM.1,player_name,player_id
2022-23,BKN,25,30.8,48.2,51.8,40.1,11.1,42.0,14.0,17.9,16.7,29.0,56.6,43.4,98.3,1.7,73.8,26.2,Cameron Johnson,51
2022-23,PHX,17,25.3,42.8,57.2,31.4,5.9,57.2,15.3,11.4,22.0,25.4,67.6,32.4,95.6,4.4,82.9,17.1,Cameron Johnson,51
2021-22,PHX,66,26.2,35.6,64.4,27.5,1.9,60.6,15.2,11.9,17.2,25.5,67.3,32.7,97.6,2.4,85.3,14.7,Cameron Johnson,51
2020-21,PHX,60,24.0,30.6,69.4,30.0,5.6,61.3,16.2,8.7,14.3,24.4,83.7,16.3,98.3,1.7,92.1,7.9,Cameron Johnson,51
2019-20,PHX,57,22.0,32.8,67.2,27.8,5.6,63.1,19.8,9.1,17.7,22.2,74.3,25.7,99.1,0.9,89.2,10.8,Cameron Johnson,51
2024-25,BKN,18,32.9,57.8,42.2,40.9,13.5,35.1,5.8,24.0,15.1,27.4,51.6,48.4,51.9,48.1,51.7,48.3,Cam Thomas,18
2023-24,BKN,66,31.4,66.7,33.3,51.6,15.9,29.1,9.7,19.3,9.9,35.6,43.2,56.8,67.4,32.6,49.8,50.2,Cam Thomas,18
2022-23,BKN,57,16.6,70.8,29.2,49.7,15.6,25.3,8.6,25.0,18.5,34.1,32.7,67.3,45.1,54.9,35.8,64.2,Cam Thomas,18
2021-22,BKN,67,17.6,65.4,34.6,60.0,25.3,24.7,13.0,15.3,13.5,34.7,41.5,58.5,70.2,29.8,47.7,52.3,Cam Thomas,18
2024-25,OKC,10,26.5,66.7,33.3,51.2,6.1,25.6,11.0,23.2,17.7,45.1,66.7,33.3,100.0,0.0,75.0,25.0,Chet Holmgren,77
2023-24,OKC,82,29.4,63.4,36.6,55.4,4.6,28.5,8.4,16.1,13.6,50.8,65.2,34.8,97.7,2.3,73.5,26.5,Chet Holmgren,77
2024-25,NOP,23,33.7,54.8,45.2,48.0,8.8,42.3,11.8,9.7,18.3,39.2,42.9,57.1,74.3,25.7,54.5,45.5,CJ McCollum,36
2023-24,NOP,66,32.7,47.2,52.8,37.1,8.8,54.2,16.7,8.7,15.4,28.3,39.2,60.8,74.1,25.9,56.4,43.6,CJ McCollum,36
2022-23,NOP,75,35.3,59.6,40.4,48.0,14.8,40.4,12.6,11.6,10.7,33.2,30.3,69.7,75.8,24.2,46.7,53.3,CJ McCollum,36
2021-22,TOT,62,34.6,59.7,40.3,51.7,18.7,39.9,11.9,8.4,11.6,33.0,25.4,74.6,65.9,34.1,39.2,60.8,CJ McCollum,36
2021-22,NOP,26,33.8,63.9,36.1,55.5,20.9,33.8,14.3,10.7,11.6,34.5,28.6,71.4,66.2,33.8,39.4,60.6,CJ McCollum,36
2021-22,POR,36,35.2,56.5,43.5,48.4,16.8,45.1,9.9,6.5,11.6,31.7,22.3,77.7,65.8,34.2,39.0,61.0,CJ McCollum,36
2020-21,POR,47,34.0,52.5,47.5,43.4,17.1,46.6,10.6,10.0,12.1,26.3,30.1,69.9,61.5,38.5,43.2,56.8,CJ McCollum,36
