By Year,TEAM,GP,MIN,PTSÂ OFFÂ TO,2ndÂ PTS,FBPs,PITP,Opp,Opp.1,Opp.2,Opp.3,BLK,BLKA,PF,PFD,player_name,player_id
2023-24,BKN,66,31.4,2.2,1.9,2.2,8.0,10.2,9.0,11.2,33.0,0.2,1.2,2.1,4.1,Cam Thomas,18
2022-23,BKN,57,16.6,2.0,0.8,0.9,3.6,5.8,5.3,4.4,17.9,0.1,0.2,1.0,2.2,Cam Thomas,18
2021-22,BKN,67,17.6,1.1,0.8,1.1,3.0,6.1,5.0,4.9,17.8,0.1,0.4,1.0,1.2,Cam Thomas,18
2024-25,OKC,10,26.5,2.9,2.9,1.8,7.4,7.6,7.7,8.7,26.2,2.6,0.6,1.8,3.2,Chet Holmgren,77
2023-24,OKC,82,29.4,2.3,2.3,1.4,8.4,8.2,10.0,7.4,28.3,2.3,0.8,2.4,3.0,Chet Holmgren,77
2024-25,NOP,23,33.7,4.2,1.5,2.7,9.0,13.8,10.9,12.1,37.4,0.5,0.9,2.3,2.7,CJ McCollum,36
2023-24,NOP,66,32.7,3.1,1.7,3.3,5.7,9.9,8.3,9.0,32.1,0.6,0.6,1.9,1.7,CJ McCollum,36
2022-23,NOP,75,35.3,2.2,1.6,2.6,6.9,12.7,9.7,10.6,37.5,0.5,0.8,2.0,2.4,CJ McCollum,36
2021-22,TOT,62,34.6,2.6,1.8,2.6,7.3,11.3,8.9,8.7,33.7,0.4,0.9,2.0,2.6,CJ McCollum,36
2021-22,NOP,26,33.8,2.8,2.1,3.5,8.4,11.2,9.8,8.3,33.6,0.0,1.0,1.7,3.2,CJ McCollum,36
2021-22,POR,36,35.2,2.4,1.6,2.0,6.5,11.4,8.3,9.1,33.8,0.6,0.8,2.1,2.2,CJ McCollum,36
2020-21,POR,47,34.0,2.8,1.7,2.4,6.1,9.1,8.9,9.3,33.0,0.4,0.6,1.9,2.5,CJ McCollum,36
2019-20,POR,70,36.5,2.8,1.2,3.2,7.6,10.6,12.2,11.1,36.6,0.6,0.8,2.6,2.0,CJ McCollum,36
2018-19,POR,70,33.9,2.5,1.8,2.7,7.0,10.4,9.9,9.7,34.1,0.4,0.9,2.5,2.4,CJ McCollum,36
2017-18,POR,81,36.1,2.8,1.6,2.0,7.1,10.6,8.5,8.9,32.1,0.4,1.2,2.1,2.6,CJ McCollum,36
2016-17,POR,80,34.9,2.8,2.0,2.2,6.9,11.0,9.0,8.7,30.7,0.5,1.0,2.5,2.9,CJ McCollum,36
2015-16,POR,80,34.7,3.1,1.5,2.2,6.0,11.5,8.6,8.0,29.2,0.3,1.1,2.3,2.6,CJ McCollum,36
2014-15,POR,62,15.7,1.4,0.5,1.1,2.0,4.9,3.9,4.0,12.8,0.1,0.4,1.3,1.0,CJ McCollum,36
2013-14,POR,38,12.5,0.9,0.8,0.6,1.4,4.5,3.9,3.2,10.9,0.1,0.3,1.4,0.7,CJ McCollum,36
2024-25,CHI,34,32.9,2.8,1.6,3.2,5.4,11.3,8.8,10.7,39.4,0.2,0.8,2.5,3.0,Coby White,59
2023-24,CHI,79,36.5,3.2,1.4,3.1,7.1,11.5,10.4,9.8,34.5,0.2,0.8,2.4,3.7,Coby White,59
2022-23,CHI,74,23.4,1.6,0.6,2.0,3.0,7.6,6.6,6.1,21.9,0.1,0.3,1.6,1.3,Coby White,59
2021-22,CHI,61,27.5,1.8,1.0,1.7,3.8,8.4,7.4,6.6,29.4,0.2,0.4,2.2,1.4,Coby White,59
2020-21,CHI,69,31.2,2.0,1.5,1.8,4.5,11.9,7.3,8.2,31.2,0.2,0.9,2.6,2.2,Coby White,59
2019-20,CHI,65,25.8,2.9,1.2,2.5,4.4,9.0,6.6,7.1,26.8,0.1,0.9,1.8,1.8,Coby White,59
2024-25,UTA,34,28.5,2.3,1.7,2.7,7.9,12.7,7.4,12.9,29.9,0.1,1.1,2.2,3.0,Collin Sexton,67
2023-24,UTA,78,26.6,3.0,2.1,3.3,8.8,10.7,7.4,10.2,28.5,0.2,1.4,2.0,3.8,Collin Sexton,67
2022-23,UTA,48,23.9,2.2,1.1,1.7,7.0,9.8,8.0,9.3,27.8,0.1,1.1,2.3,3.6,Collin Sexton,67
2021-22,CLE,11,28.8,2.9,2.0,3.0,9.1,13.8,7.6,8.9,28.2,0.0,1.5,2.3,3.9,Collin Sexton,67
2020-21,CLE,60,35.3,3.9,2.2,3.1,12.4,13.1,9.0,10.0,36.4,0.2,1.6,2.6,5.6,Collin Sexton,67
2019-20,CLE,65,33.0,2.9,1.9,3.2,10.8,14.2,8.7,10.7,38.8,0.1,1.8,2.2,3.9,Collin Sexton,67
2018-19,CLE,82,31.8,2.3,1.2,2.5,6.2,11.0,8.5,10.0,33.5,0.1,1.2,2.3,3.1,Collin Sexton,67
2024-25,MIL,24,36.3,2.0,1.0,1.9,6.3,13.5,9.0,12.6,36.5,0.2,0.9,1.9,5.2,Damian Lillard,14
2023-24,MIL,73,35.3,2.5,1.5,1.8,6.8,11.1,9.8,10.8,38.2,0.2,1.2,1.8,4.9,Damian Lillard,14
2022-23,POR,58,36.3,3.8,1.8,2.8,8.8,13.0,10.4,11.4,41.4,0.3,0.8,1.9,7.1,Damian Lillard,14
2021-22,POR,29,36.4,2.8,1.7,1.9,6.3,12.4,8.0,10.1,37.9,0.4,0.8,1.3,5.2,Damian Lillard,14
2020-21,POR,67,35.8,3.4,2.0,2.4,7.6,11.2,9.6,10.3,35.5,0.3,1.0,1.5,6.3,Damian Lillard,14
2019-20,POR,66,37.5,3.0,1.2,2.5,8.8,10.9,12.5,11.2,36.5,0.3,1.3,1.7,6.2,Damian Lillard,14
2018-19,POR,80,35.5,3.5,1.8,2.6,7.8,10.6,9.9,10.2,35.5,0.4,1.1,1.9,4.9,Damian Lillard,14
2017-18,POR,73,36.6,3.5,2.0,2.2,7.7,11.3,8.9,8.7,32.7,0.4,1.2,1.6,5.4,Damian Lillard,14
2016-17,POR,75,35.9,3.5,1.6,2.5,8.6,11.3,9.6,9.9,32.6,0.3,1.3,2.0,5.6,Damian Lillard,14
2015-16,POR,75,35.7,2.8,2.1,2.0,7.1,12.2,9.2,8.6,32.5,0.4,1.2,2.2,5.1,Damian Lillard,14
2014-15,POR,82,35.7,2.8,1.5,2.3,7.1,11.3,10.4,10.3,33.0,0.3,0.8,2.0,4.4,Damian Lillard,14
2013-14,POR,82,35.8,3.0,1.7,2.1,5.9,10.9,10.2,10.4,34.3,0.3,1.0,2.4,4.0,Damian Lillard,14
2012-13,POR,82,38.6,3.0,1.5,2.0,5.4,13.8,10.7,11.7,38.2,0.2,1.0,2.1,3.4,Damian Lillard,14
2024-25,CLE,34,30.0,3.6,1.4,2.8,6.8,10.0,8.1,10.6,30.1,0.2,0.6,2.1,2.8,Darius Garland,44
2023-24,CLE,57,33.3,2.4,1.8,2.3,6.7,12.1,9.4,9.5,31.6,0.1,0.8,1.7,2.9,Darius Garland,44
2022-23,CLE,69,35.5,4.0,2.0,2.1,7.8,10.8,8.8,9.5,33.3,0.1,0.8,2.1,4.3,Darius Garland,44
2021-22,CLE,68,35.7,3.1,1.5,1.9,7.8,12.6,9.5,8.6,34.7,0.1,0.8,1.7,3.4,Darius Garland,44
2020-21,CLE,54,33.1,2.6,1.2,1.9,8.0,11.9,7.7,8.7,35.0,0.1,0.7,2.0,2.7,Darius Garland,44
2019-20,CLE,59,30.9,1.7,1.0,1.1,4.0,13.1,8.2,9.7,35.4,0.1,0.6,1.6,1.6,Darius Garland,44
2024-25,SAC,34,37.2,4.2,2.1,3.1,13.0,12.7,10.2,9.2,33.9,0.4,1.0,2.8,4.8,Deaaron Fox,9
2023-24,SAC,74,35.9,4.1,2.3,3.7,11.5,11.6,7.8,9.0,36.2,0.4,0.9,2.6,4.5,Deaaron Fox,9
2022-23,SAC,73,33.4,2.8,1.6,3.3,12.2,11.1,8.4,8.6,37.6,0.3,0.7,2.4,4.7,Deaaron Fox,9
2021-22,SAC,59,35.3,2.6,1.3,2.8,11.7,12.6,10.6,10.1,38.6,0.4,0.8,2.9,4.8,Deaaron Fox,9
2020-21,SAC,58,35.1,3.8,1.4,3.4,12.4,11.9,10.2,8.9,39.4,0.5,1.1,2.9,5.5,Deaaron Fox,9
2019-20,SAC,51,32.0,3.3,1.2,3.5,11.6,10.6,8.0,8.9,31.8,0.5,0.9,2.8,5.5,Deaaron Fox,9
2018-19,SAC,81,31.4,4.0,0.8,4.3,8.3,10.6,9.4,9.8,34.4,0.6,1.0,2.5,4.6,Deaaron Fox,9
2017-18,SAC,73,27.7,1.9,0.6,2.2,5.4,9.5,7.0,7.7,25.2,0.3,0.9,2.2,2.7,Deaaron Fox,9
2024-25,POR,26,30.5,2.3,3.7,0.7,10.8,13.5,8.7,12.9,29.4,1.0,0.4,2.3,1.5,Deandre Ayton,95
2023-24,POR,55,32.4,2.3,3.7,0.9,11.5,13.0,9.0,11.0,36.3,0.8,0.7,2.0,1.4,Deandre Ayton,95
