Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Mar 15, 2019 - MIA vs. MIL",L,29:21:00,10,4,8,50,0,0,0,2,3,66.7,2,9,11,5,1,1,3,3,-10,
"Mar 13, 2019 - MIA vs. DET",W,16:57,10,3,3,100,0,0,0,4,4,100,1,4,5,1,0,0,1,4,22,
"Mar 10, 2019 - MIA vs. TOR",L,27:28:00,19,8,11,72.7,0,0,0,3,3,100,3,3,6,5,2,0,1,2,-12,
"Mar 08, 2019 - MIA vs. CLE",W,24:47:00,17,7,8,87.5,0,0,0,3,4,75,3,4,7,2,0,1,1,1,9,
"Mar 06, 2019 - MIA @ CHA",W,25:23:00,10,5,6,83.3,0,0,0,0,0,0,1,4,5,0,2,2,5,2,2,
"Mar 04, 2019 - MIA vs. ATL",W,20:10,9,3,6,50,0,1,0,3,3,100,1,5,6,3,0,0,2,5,-2,
"Mar 02, 2019 - MIA vs. BKN",W,28:12:00,9,3,8,37.5,0,0,0,3,4,75,4,12,16,6,0,2,0,3,23,
"Feb 28, 2019 - MIA @ HOU",L,29:06:00,10,3,6,50,0,0,0,4,4,100,2,1,3,5,1,2,1,4,-13,
"Feb 27, 2019 - MIA vs. GSW",W,31:53:00,11,3,5,60,0,0,0,5,9,55.6,0,10,10,4,0,2,1,3,-6,
"Feb 25, 2019 - MIA vs. PHX",L,21:20,14,4,7,57.1,0,0,0,6,7,85.7,3,6,9,1,2,1,0,1,-3,
"Feb 23, 2019 - MIA vs. DET",L,14:00,4,1,2,50,0,0,0,2,2,100,0,3,3,2,0,0,2,3,-10,
"Feb 21, 2019 - MIA @ PHI",L,16:53,6,3,4,75,0,0,0,0,0,0,0,2,2,2,2,0,0,4,10,
"Feb 13, 2019 - MIA @ DAL",W,25:58:00,10,3,4,75,0,0,0,4,4,100,3,3,6,3,1,0,4,0,7,
"Feb 11, 2019 - MIA @ DEN",L,18:40,2,1,4,25,0,0,0,0,0,0,1,4,5,1,1,0,1,1,-6,
"Feb 10, 2019 - MIA @ GSW",L,25:13:00,8,4,6,66.7,0,0,0,0,0,0,4,7,11,3,1,2,2,4,-10,
"Feb 08, 2019 - MIA @ SAC",L,19:43,2,1,3,33.3,0,0,0,0,3,0,2,4,6,1,1,0,2,4,-8,
"Feb 05, 2019 - MIA @ POR",W,17:59,5,2,3,66.7,0,0,0,1,2,50,1,3,4,0,1,0,0,0,-6,
"Feb 02, 2019 - MIA vs. IND",L,16:44,5,1,2,50,0,0,0,3,4,75,0,4,4,0,1,0,1,5,11,
"Feb 01, 2019 - MIA vs. OKC",L,24:51:00,10,4,5,80,0,0,0,2,3,66.7,2,7,9,2,0,0,0,2,0,
"Jan 30, 2019 - MIA vs. CHI",L,32:49:00,13,5,7,71.4,0,0,0,3,5,60,1,6,7,2,0,0,4,2,-4,
"Jan 27, 2019 - MIA @ NYK",W,18:56,9,3,7,42.9,0,1,0,3,3,100,2,4,6,1,1,0,1,1,-15,
"Jan 25, 2019 - MIA @ CLE",W,25:38:00,8,2,4,50,0,0,0,4,6,66.7,3,5,8,1,2,0,2,3,-13,
"Jan 23, 2019 - MIA vs. LAC",L,15:32,8,4,5,80,0,0,0,0,0,0,3,4,7,0,0,0,1,5,-5,
"Jan 21, 2019 - MIA @ BOS",L,27:42:00,13,4,6,66.7,0,0,0,5,6,83.3,1,6,7,2,1,2,3,3,0,
"Jan 19, 2019 - MIA @ CHI",W,22:41,5,2,3,66.7,0,0,0,1,2,50,0,1,1,3,1,2,2,1,1,
"Jan 18, 2019 - MIA @ DET",L,26:25:00,9,4,4,100,0,0,0,1,1,100,1,5,6,1,0,1,2,2,-4,
"Jan 15, 2019 - MIA @ MIL",L,23:20,2,0,6,0,0,2,0,2,2,100,2,3,5,2,0,0,2,2,-32,
"Jan 12, 2019 - MIA vs. MEM",W,37:58:00,11,3,6,50,0,0,0,5,7,71.4,4,6,10,2,2,1,3,1,18,
"Jan 10, 2019 - MIA vs. BOS",W,26:41:00,8,3,5,60,0,0,0,2,2,100,1,6,7,5,2,2,0,1,9,
"Jan 08, 2019 - MIA vs. DEN",L,24:09:00,13,6,7,85.7,0,0,0,1,2,50,1,3,4,1,1,0,0,0,4,
"Jan 06, 2019 - MIA @ ATL",L,26:53:00,12,5,9,55.6,0,0,0,2,2,100,4,2,6,2,2,2,1,3,1,
"Jan 04, 2019 - MIA vs. WAS",W,18:28,11,4,7,57.1,0,0,0,3,4,75,3,4,7,5,1,1,1,3,1,
"Jan 02, 2019 - MIA @ CLE",W,24:34:00,8,4,5,80,0,1,0,0,0,0,0,5,5,5,1,0,3,3,15,
"Dec 30, 2018 - MIA vs. MIN",L,17:54,4,1,3,33.3,0,0,0,2,2,100,2,2,4,0,0,0,2,4,-12,
"Dec 28, 2018 - MIA vs. CLE",W,30:09:00,18,8,8,100,0,0,0,2,2,100,4,5,9,5,0,0,1,4,15,
"Dec 26, 2018 - MIA vs. TOR",L,17:17,2,1,3,33.3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,-24,
"Apr 11, 2018 - MIA vs. TOR",W,18:17,10,4,4,100,0,0,0,2,2,100,2,2,4,1,0,1,0,1,16,
"Apr 09, 2018 - MIA vs. OKC",L,13:21,6,1,3,33.3,0,0,0,4,4,100,1,3,4,0,0,0,0,1,0,
"Apr 06, 2018 - MIA @ NYK",L,12:23,4,2,4,50,0,0,0,0,0,0,1,3,4,0,0,0,2,1,-2,
"Apr 04, 2018 - MIA @ ATL",W,19:46,4,1,6,16.7,0,0,0,2,2,100,2,8,10,2,3,1,3,1,26,
"Mar 29, 2018 - MIA vs. CHI",W,11:32,3,1,2,50,0,0,0,1,2,50,0,0,0,0,0,0,0,1,10,
"Mar 25, 2018 - MIA @ IND",L,20:55,14,5,7,71.4,0,0,0,4,4,100,2,3,5,0,0,1,3,5,-2,
"Mar 23, 2018 - MIA @ OKC",L,20:46,0,0,5,0,0,0,0,0,0,0,2,5,7,1,0,0,1,1,-6,
"Mar 21, 2018 - MIA vs. NYK",W,13:17,6,3,4,75,0,0,0,0,0,0,1,1,2,0,0,0,1,2,-8,
"Mar 19, 2018 - MIA vs. DEN",W,27:01:00,7,3,9,33.3,0,0,0,1,6,16.7,4,4,8,3,0,0,2,2,-17,
"Mar 16, 2018 - MIA @ LAL",W,34:44:00,11,5,10,50,0,0,0,1,3,33.3,5,3,8,2,0,0,0,3,0,
"Mar 14, 2018 - MIA @ SAC",L,27:19:00,6,2,9,22.2,0,0,0,2,2,100,4,12,16,3,0,0,0,3,-9,
"Mar 12, 2018 - MIA @ POR",L,24:40:00,4,1,10,10,0,0,0,2,2,100,4,5,9,3,1,1,3,4,-8,
"Mar 10, 2018 - MIA vs. WAS",W,17:42,6,3,5,60,0,0,0,0,2,0,2,6,8,1,0,0,2,4,19,
"Mar 08, 2018 - MIA vs. PHI",W,13:35,2,1,5,20,0,1,0,0,0,0,1,3,4,0,0,0,0,2,9,
"Mar 06, 2018 - MIA @ WAS",L,3:47,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,-1,
"Mar 05, 2018 - MIA vs. PHX",W,4:38,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,-6,
"Mar 01, 2018 - MIA vs. LAL",L,29:32:00,15,6,7,85.7,0,0,0,3,4,75,4,6,10,1,0,2,1,1,5,
"Feb 27, 2018 - MIA vs. PHI",W,6:52,1,0,2,0,0,0,0,1,2,50,1,3,4,0,0,2,1,0,-17,
"Feb 24, 2018 - MIA vs. MEM",W,18:20,13,5,7,71.4,0,0,0,3,4,75,2,5,7,1,1,0,0,1,24,
"Feb 23, 2018 - MIA @ NOP",L,18:57,6,2,2,100,0,0,0,2,4,50,0,8,8,2,0,0,1,4,2,
"Feb 14, 2018 - MIA @ PHI",L,19:22,3,0,3,0,0,0,0,3,4,75,0,2,2,1,0,0,0,0,-12,
"Feb 13, 2018 - MIA @ TOR",L,25:10:00,11,3,6,50,0,0,0,5,5,100,1,4,5,3,0,1,2,3,7,
