Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 19, 2018 - UTA vs. NYK",L,29:46:00,23,7,10,70,0,0,0,9,15,60,5,9,14,1,0,3,3,5,0,
"Dec 15, 2017 - UTA @ BOS",W,1:49,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,
"Dec 13, 2017 - UTA @ CHI",L,26:18:00,6,3,7,42.9,0,0,0,0,0,0,3,8,11,1,0,5,0,0,14,
"Dec 09, 2017 - UTA @ MIL",L,28:53:00,20,6,8,75,0,0,0,8,14,57.1,3,6,9,1,0,1,2,1,-16,
"Dec 07, 2017 - UTA vs. HOU",L,27:41:00,6,2,5,40,0,0,0,2,2,100,2,7,9,1,1,2,5,1,-1,
"Dec 05, 2017 - UTA @ OKC",L,26:53:00,5,1,2,50,0,0,0,3,6,50,1,5,6,0,1,1,1,5,-3,
"Dec 04, 2017 - UTA vs. WAS",W,21:09,4,2,4,50,0,0,0,0,0,0,4,6,10,3,1,2,2,3,18,
"Nov 10, 2017 - UTA vs. MIA",L,35:16:00,12,4,7,57.1,0,0,0,4,5,80,1,11,12,0,0,2,1,3,-12,
"Nov 07, 2017 - UTA vs. PHI",L,35:43:00,16,4,8,50,0,0,0,8,12,66.7,6,9,15,1,2,3,2,4,-18,
"Nov 05, 2017 - UTA @ HOU",L,25:15:00,13,6,11,54.5,0,0,0,1,1,100,2,3,5,1,0,0,0,2,-16,
"Nov 03, 2017 - UTA vs. TOR",L,34:35:00,15,6,10,60,0,0,0,3,4,75,4,3,7,0,0,2,1,2,-5,
"Nov 01, 2017 - UTA vs. POR",W,38:20:00,16,5,9,55.6,0,0,0,6,9,66.7,2,8,10,1,0,3,2,2,0,
"Oct 30, 2017 - UTA vs. DAL",W,33:14:00,17,4,6,66.7,0,0,0,9,12,75,3,9,12,6,2,6,3,2,32,
"Apr 12, 2017 - UTA vs. SAS",W,28:58:00,13,5,9,55.6,0,0,0,3,5,60,1,8,9,0,0,1,3,2,1,
"Apr 10, 2017 - UTA @ GSW",W,33:15:00,17,7,12,58.3,0,0,0,3,5,60,6,12,18,0,0,2,1,4,2,
"Apr 08, 2017 - UTA @ POR",L,30:46:00,13,5,6,83.3,0,0,0,3,3,100,2,9,11,1,0,4,1,3,-1,
"Apr 07, 2017 - UTA vs. MIN",W,27:20:00,16,7,9,77.8,0,0,0,2,3,66.7,0,5,5,1,1,2,2,5,1,
"Apr 04, 2017 - UTA vs. POR",W,35:17:00,20,6,6,100,0,0,0,8,10,80,1,10,11,2,1,3,0,4,9,
"Apr 02, 2017 - UTA @ SAS",L,40:32:00,19,9,15,60,0,0,0,1,2,50,7,7,14,5,0,6,1,0,4,
"Mar 31, 2017 - UTA vs. WAS",W,37:59:00,16,6,9,66.7,0,0,0,4,10,40,2,8,10,1,0,3,0,3,10,
"Mar 29, 2017 - UTA @ SAC",W,34:13:00,16,5,8,62.5,0,0,0,6,8,75,4,11,15,0,0,0,0,1,10,
"Mar 27, 2017 - UTA vs. NOP",W,39:31:00,20,8,11,72.7,0,0,0,4,8,50,2,17,19,1,0,5,1,4,4,
"Mar 25, 2017 - UTA @ LAC",L,36:03:00,26,10,13,76.9,0,0,0,6,10,60,7,7,14,1,0,2,4,2,-13,
"Mar 22, 2017 - UTA vs. NYK",W,38:05:00,35,13,15,86.7,0,0,0,9,12,75,13,2,15,1,1,4,3,2,13,
"Mar 20, 2017 - UTA @ IND",L,37:10:00,16,7,12,58.3,0,0,0,2,6,33.3,5,9,14,3,0,8,1,3,-7,
"Mar 18, 2017 - UTA @ CHI",L,35:23:00,13,5,11,45.5,0,0,0,3,6,50,6,7,13,2,0,5,2,6,-7,
