Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team 
"Mar 25, 2016 - MIL @ ATL",L,40,11,5,14,35.7,0,1,0,1,2,50,0,7,7,4,1,3,2,3,-2,
"Mar 23, 2016 - MIL @ CLE",L,39,24,11,19,57.9,0,3,0,2,2,100,2,4,6,6,0,1,2,4,-6,
"Mar 21, 2016 - MIL @ DET",L,37,21,10,17,58.8,1,3,33.3,0,0,0,1,11,12,5,0,2,0,1,8,
"Mar 20, 2016 - MIL vs. UTA",L,29,12,5,10,50,0,1,0,2,2,100,0,3,3,7,2,2,2,1,-5,
"Mar 17, 2016 - MIL vs. MEM",W,30,15,6,9,66.7,0,1,0,3,4,75,2,4,6,11,1,3,3,2,-1,
"Mar 15, 2016 - MIL vs. TOR",L,35,18,6,12,50,0,1,0,6,11,54.5,2,10,12,9,0,3,1,4,-5,
"Mar 13, 2016 - MIL @ BKN",W,41,28,12,16,75,0,0,0,4,11,36.4,3,8,11,14,4,2,3,1,19,
"Mar 12, 2016 - MIL vs. NOP",W,37,18,6,15,40,0,0,0,6,10,60,0,5,5,4,0,2,5,3,11,
"Mar 09, 2016 - MIL vs. MIA",W,37,24,9,15,60,0,0,0,6,10,60,2,5,7,6,2,0,2,4,5,
"Mar 07, 2016 - MIL @ CHI",L,37,12,5,13,38.5,0,1,0,2,2,100,0,5,5,10,3,1,3,1,-18,
"Mar 06, 2016 - MIL vs. OKC",L,42,26,8,20,40,0,2,0,10,11,90.9,2,10,12,10,3,4,2,3,-9,
"Mar 04, 2016 - MIL vs. MIN",W,35,27,9,17,52.9,0,0,0,9,10,90,2,7,9,12,3,2,4,2,24,
