Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 23, 2019 - NOP vs. DET",L,33:41:00,13,6,14,42.9,0,1,0,1,1,100,1,12,13,2,0,2,3,5,-1,
"Jan 21, 2019 - NOP @ MEM",W,27:27:00,20,6,9,66.7,0,1,0,8,11,72.7,1,11,12,5,2,0,7,4,10,
"Jan 18, 2019 - NOP @ POR",L,36:58:00,19,8,16,50,1,3,33.3,2,2,100,1,8,9,4,1,2,4,5,-16,
"Jan 16, 2019 - NOP @ GSW",L,21:42,23,6,8,75,3,3,100,8,8,100,0,7,7,3,0,0,1,4,-5,
"Jan 14, 2019 - NOP @ LAC",W,33:04:00,27,10,19,52.6,0,3,0,7,9,77.8,1,5,6,5,1,0,3,2,21,
"Jan 12, 2019 - NOP @ MIN",L,33:55:00,22,7,13,53.8,0,1,0,8,10,80,2,9,11,3,0,0,2,3,-10,
"Jan 09, 2019 - NOP vs. CLE",W,27:03:00,17,4,8,50,0,2,0,9,9,100,1,7,8,4,0,2,2,2,14,
"Jan 07, 2019 - NOP vs. MEM",W,33:25:00,15,5,9,55.6,0,1,0,5,6,83.3,1,8,9,2,0,0,4,3,0,
"Jan 05, 2019 - NOP @ CLE",W,32:57:00,22,8,14,57.1,1,3,33.3,5,5,100,2,10,12,8,1,0,2,1,28,
"Jan 02, 2019 - NOP @ BKN",L,34:05:00,21,8,13,61.5,0,1,0,5,9,55.6,2,2,4,2,1,2,2,4,5,
"Dec 31, 2018 - NOP vs. MIN",W,37:53:00,33,13,23,56.5,2,4,50,5,6,83.3,3,7,10,3,0,0,0,5,-6,
"Dec 29, 2018 - NOP vs. HOU",L,39:51:00,23,10,19,52.6,1,2,50,2,4,50,4,7,11,4,2,1,4,2,-2,
"Dec 28, 2018 - NOP vs. DAL",W,37:45:00,22,9,19,47.4,0,2,0,4,5,80,5,7,12,2,0,0,1,4,12,
"Dec 26, 2018 - NOP @ DAL",L,37:22:00,23,5,16,31.3,2,4,50,11,13,84.6,0,4,4,3,1,0,2,5,14,
"Dec 23, 2018 - NOP @ SAC",L,30:49:00,18,8,16,50,0,1,0,2,4,50,0,9,9,2,0,0,4,6,-3,
