Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Apr 08, 2018 - TOR vs. ORL",W,24:28:00,12,5,5,100,0,0,0,2,3,66.7,0,5,5,1,1,0,4,3,-6,
"Apr 06, 2018 - TOR vs. IND",W,18:19,10,5,5,100,0,0,0,0,0,0,1,4,5,0,1,0,2,3,3,
"Apr 04, 2018 - TOR vs. BOS",W,16:48,9,4,4,100,0,0,0,1,1,100,2,1,3,0,1,0,2,4,0,
"Apr 03, 2018 - TOR @ CLE",L,17:13,4,1,1,100,0,0,0,2,2,100,0,2,2,1,1,0,0,2,-1,
"Mar 31, 2018 - TOR @ BOS",L,19:44,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,-4,
"Mar 27, 2018 - TOR vs. DEN",W,18:28,12,6,8,75,0,0,0,0,0,0,4,4,8,0,0,1,1,4,7,
"Mar 25, 2018 - TOR vs. LAC",L,25:12:00,5,2,6,33.3,0,0,0,1,4,25,3,6,9,2,0,3,2,3,-14,
"Mar 23, 2018 - TOR vs. BKN",W,7:28,0,0,1,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,-9,
"Mar 21, 2018 - TOR @ CLE",L,26:41:00,17,8,13,61.5,0,0,0,1,2,50,7,1,8,1,1,1,2,2,-6,
"Mar 20, 2018 - TOR @ ORL",W,11:04,4,2,2,100,0,0,0,0,0,0,1,1,2,1,1,0,1,1,-3,
"Mar 18, 2018 - TOR vs. OKC",L,15:07,6,2,2,100,0,0,0,2,2,100,3,1,4,2,0,0,0,2,-4,
"Mar 16, 2018 - TOR vs. DAL",W,18:20,2,1,1,100,0,0,0,0,0,0,0,2,2,1,1,2,1,2,-9,
"Mar 15, 2018 - TOR @ IND",W,16:00,4,1,1,100,0,0,0,2,2,100,1,2,3,0,0,1,3,4,-4,
"Mar 13, 2018 - TOR @ BKN",W,20:29,8,4,7,57.1,0,0,0,0,1,0,2,4,6,1,1,3,1,5,7,
"Mar 11, 2018 - TOR @ NYK",W,20:36,10,5,8,62.5,0,0,0,0,0,0,3,5,8,3,0,0,1,1,23,
"Mar 09, 2018 - TOR vs. HOU",W,19:14,2,1,2,50,0,0,0,0,0,0,1,3,4,2,2,0,0,2,0,
"Mar 07, 2018 - TOR @ DET",W,17:47,4,2,5,40,0,0,0,0,0,0,0,2,2,1,0,0,1,2,2,
"Mar 06, 2018 - TOR vs. ATL",W,20:40,6,3,8,37.5,0,0,0,0,0,0,6,3,9,1,2,3,1,2,21,
"Mar 04, 2018 - TOR vs. CHA",W,13:32,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,1,4,-4,
"Mar 02, 2018 - TOR @ WAS",W,22:14,6,3,3,100,0,0,0,0,1,0,1,2,3,0,0,3,1,3,4,
"Feb 28, 2018 - TOR @ ORL",W,28:25:00,13,5,7,71.4,0,0,0,3,3,100,2,6,8,5,2,3,1,3,13,
"Feb 26, 2018 - TOR vs. DET",W,22:06,8,4,7,57.1,0,0,0,0,0,0,1,3,4,1,3,1,2,1,10,
"Feb 23, 2018 - TOR vs. MIL",L,19:28,8,3,4,75,0,0,0,2,2,100,1,3,4,2,0,3,2,2,3,
"Feb 14, 2018 - TOR @ CHI",W,21:17,10,4,4,100,0,0,0,2,2,100,0,7,7,2,0,4,3,3,14,
"Feb 13, 2018 - TOR vs. MIA",W,17:52,4,1,1,100,0,0,0,2,2,100,1,0,1,0,0,1,0,4,4,
