Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Mar 29, 2021 - MIN @ BKN",L,38:05:00,13,5,11,45.5,3,5,60,0,0,0,3,4,7,4,1,4,0,2,3,
"Mar 27, 2021 - MIN vs. HOU",L,35:55:00,14,6,10,60,2,4,50,0,0,0,1,1,2,1,0,1,0,2,-7,
"Mar 26, 2021 - MIN vs. HOU",W,33:00:00,14,5,5,100,2,2,100,2,2,100,1,3,4,0,0,2,0,0,9,
"Mar 24, 2021 - MIN vs. DAL",L,28:34:00,9,4,8,50,1,3,33.3,0,0,0,2,3,5,1,1,1,0,5,-11,
"Mar 22, 2021 - MIN vs. OKC",L,14:55,2,1,5,20,0,1,0,0,0,0,1,0,1,1,0,1,1,3,-14,
"Mar 19, 2021 - MIN @ PHX",L,28:13:00,8,4,11,36.4,0,4,0,0,0,0,0,5,5,0,1,0,0,2,11,
"Mar 18, 2021 - MIN @ PHX",W,26:55:00,2,1,5,20,0,3,0,0,2,0,1,3,4,2,2,1,0,0,8,
"Mar 16, 2021 - MIN @ LAL",L,22:43,5,2,3,66.7,1,2,50,0,0,0,0,2,2,0,2,0,0,1,-13,
"Mar 13, 2021 - MIN vs. POR",L,21:28,5,2,2,100,1,1,100,0,0,0,0,2,2,1,0,0,1,3,-2,
"Mar 11, 2021 - MIN @ NOP",W,25:40:00,20,8,9,88.9,4,5,80,0,1,0,2,2,4,1,2,3,0,4,22,
"Mar 03, 2021 - MIN vs. CHA",L,29:52:00,5,2,7,28.6,0,4,0,1,2,50,0,7,7,2,0,0,0,0,-26,
"Feb 28, 2021 - MIN vs. PHX",L,8:45,5,2,3,66.7,1,2,50,0,0,0,0,0,0,0,1,0,0,0,-2,
"Feb 27, 2021 - MIN @ WAS",L,14:59,0,0,3,0,0,3,0,0,0,0,0,3,3,1,0,1,1,1,-18,
"Feb 24, 2021 - MIN @ CHI",L,15:34,2,1,2,50,0,1,0,0,0,0,1,2,3,1,0,0,1,1,-12,
"Feb 23, 2021 - MIN @ MIL",L,21:51,4,1,4,25,0,2,0,2,2,100,0,1,1,2,1,2,0,4,-14,
"Feb 21, 2021 - MIN @ NYK",L,21:40,6,2,7,28.6,1,3,33.3,1,1,100,1,3,4,0,0,0,1,3,1,
"Feb 19, 2021 - MIN vs. TOR",L,30:33:00,8,2,5,40,2,5,40,2,3,66.7,1,5,6,1,0,2,1,4,-1,
"Feb 17, 2021 - MIN vs. IND",L,37:04:00,11,4,10,40,3,6,50,0,0,0,0,4,4,1,0,3,1,2,0,
"Feb 16, 2021 - MIN vs. LAL",L,17:44,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,2,1,3,-9,
"Feb 14, 2021 - MIN @ TOR",W,18:18,6,2,3,66.7,1,2,50,1,2,50,0,2,2,2,0,1,1,1,11,
"Feb 12, 2021 - MIN @ CHA",L,24:20:00,9,3,7,42.9,2,4,50,1,2,50,1,3,4,1,1,2,1,3,3,
"Feb 10, 2021 - MIN vs. LAC",L,18:12,10,4,7,57.1,2,5,40,0,0,0,1,2,3,3,0,4,1,2,3,
"Feb 08, 2021 - MIN @ DAL",L,19:49,6,2,3,66.7,2,3,66.7,0,0,0,0,5,5,1,0,0,2,3,-22,
"Feb 06, 2021 - MIN @ OKC",L,23:50,8,3,5,60,1,3,33.3,1,2,50,2,4,6,2,1,0,3,2,6,
"Feb 05, 2021 - MIN @ OKC",W,28:37:00,0,0,4,0,0,3,0,0,0,0,0,5,5,1,1,1,0,2,20,
"Feb 03, 2021 - MIN @ SAS",L,18:00,3,1,2,50,1,1,100,0,0,0,0,1,1,2,0,1,0,3,-3,
"Feb 01, 2021 - MIN @ CLE",L,21:38,11,5,10,50,1,4,25,0,0,0,2,2,4,0,0,0,2,3,2,
