Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 23, 2024 - NYK @ BKN",W,25:18:00,11,4,10,40,3,8,37.5,0,0,0,1,4,5,0,1,0,3,0,-7,
"Jan 20, 2024 - NYK vs. TOR",W,20:29,17,7,12,58.3,2,7,28.6,1,3,33.3,1,2,3,1,1,0,0,1,5,
"Jan 18, 2024 - NYK vs. WAS",W,37:35:00,19,6,15,40,5,12,41.7,2,2,100,0,3,3,3,0,1,3,4,15,
"Jan 17, 2024 - NYK vs. HOU",W,19:02,5,2,7,28.6,1,4,25,0,0,0,0,2,2,5,0,0,2,1,7,
"Jan 15, 2024 - NYK vs. ORL",L,24:17:00,15,5,12,41.7,2,8,25,3,6,50,2,4,6,4,0,1,0,2,9,
"Jan 13, 2024 - NYK @ MEM",W,32:56:00,13,4,14,28.6,3,11,27.3,2,3,66.7,0,3,3,4,4,0,2,2,8,
"Jan 11, 2024 - NYK @ DAL",L,29:38:00,19,7,13,53.8,5,10,50,0,0,0,1,3,4,3,2,0,2,4,-6,
"Jan 09, 2024 - NYK vs. POR",W,18:40,13,4,9,44.4,3,8,37.5,2,2,100,0,4,4,2,1,0,0,2,14,
"Jan 06, 2024 - NYK @ WAS",W,26:22:00,10,4,10,40,2,7,28.6,0,0,0,1,4,5,3,1,0,1,1,3,
"Jan 05, 2024 - NYK @ PHI",W,16:42,14,4,6,66.7,4,6,66.7,2,2,100,1,1,2,3,1,0,2,4,-7,
"Jan 03, 2024 - NYK vs. CHI",W,25:00:00,11,4,10,40,3,8,37.5,0,0,0,1,4,5,5,1,0,3,2,18,
"Jan 01, 2024 - NYK vs. MIN",W,25:37:00,15,5,11,45.5,2,6,33.3,3,4,75,1,3,4,2,1,1,1,0,15,
"Dec 30, 2023 - NYK @ IND",L,35:59:00,38,15,21,71.4,7,11,63.6,1,1,100,2,4,6,2,4,1,1,2,-17,
"Apr 09, 2023 - GSW @ POR",W,21:17,10,3,7,42.9,2,5,40,2,2,100,1,5,6,8,5,0,2,0,21,
"Apr 07, 2023 - GSW @ SAC",W,29:25:00,18,7,10,70,4,6,66.7,0,0,0,1,5,6,9,1,0,2,1,33,
"Apr 04, 2023 - GSW vs. OKC",W,31:33:00,16,6,10,60,4,8,50,0,2,0,3,3,6,5,2,0,2,2,28,
"Apr 02, 2023 - GSW @ DEN",L,31:34:00,18,8,12,66.7,1,4,25,1,1,100,5,8,13,4,2,0,3,3,12,
"Mar 31, 2023 - GSW vs. SAS",W,20:26,1,0,4,0,0,4,0,1,2,50,0,1,1,5,1,0,1,0,1,
"Mar 28, 2023 - GSW vs. NOP",W,22:52,13,4,8,50,1,4,25,4,5,80,2,5,7,2,1,0,3,1,-5,
"Mar 26, 2023 - GSW vs. MIN",L,20:40,2,1,1,100,0,0,0,0,0,0,0,3,3,2,0,0,1,3,-1,
"Mar 24, 2023 - GSW vs. PHI",W,18:59,0,0,2,0,0,2,0,0,0,0,1,2,3,0,0,0,1,3,-4,
